id,category,ground_truth,llm_answer_raw,llm_answer
nikluge-2025-대화 맥락 추론-dev-000001,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000002,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000003,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000004,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000005,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000006,후행사건,inference_3,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000007,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000008,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000009,후행사건,inference_2,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000010,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000011,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000012,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000013,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000014,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000015,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000016,후행사건,inference_2,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000017,후행사건,inference_2,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000018,후행사건,inference_2,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000019,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000020,후행사건,inference_3,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000021,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000022,후행사건,inference_3,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000023,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000024,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000025,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000026,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000027,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000028,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000029,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000030,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000031,후행사건,inference_1,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000032,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000033,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000034,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000035,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000036,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000037,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000038,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000039,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000040,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000041,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000042,원인,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000043,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000044,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000045,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000046,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000047,원인,inference_3,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000048,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000049,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000050,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000051,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000052,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000053,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000054,전제,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000055,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000056,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000057,원인,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000058,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000059,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000060,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000061,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000062,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000063,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000064,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000065,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000066,후행사건,inference_1,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000067,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000068,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000069,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000070,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000071,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000072,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000073,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000074,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000075,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000076,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000077,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000078,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000079,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000080,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000081,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000082,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000083,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000084,전제,inference_2,B,inference_2
