id,transcript,category,question,inferences,ground_truth,llm_answer_raw,llm_answer,is_right
nikluge-2025-대화 맥락 추론-dev-000001,"speaker 1: Hello! Haha
speaker 2: Hello!
speaker 2: Are you involved in any club activities?
speaker 1: I enjoy drinking tea, so I sometimes attend tea gatherings with people who also like tea.
speaker 1: Do you participate in any club activities, name2?
speaker 2: Oh wow!
speaker 2: No, I don't have any. Haha.
speaker 2: I haven't tried it yet because I don't enjoy meeting new people, like in clubs!
speaker 1: I see, haha! Since my job limits the people I meet, I enjoy participating in clubs because it allows me to meet a variety of people.
speaker 1: I'm also quite introverted, but I only meet with the people I've become close to within the club.
speaker 2: It's strange, but I hesitated because there's a stereotype that clubs have different purposes.
speaker 2: Of course, not everyone is like that!
speaker 1: Oh, I totally understand what you mean.
speaker 1: The image is a bit affected because of people who attend the club for impure motives.
speaker 1: Is it okay to say this about guys? Haha.
speaker 2: Yeah, that's right.
speaker 2: I've actually heard a lot of bad things too...
speaker 1: I think it's easier to meet since most of the members in the car club I attend are women in their 20s.
speaker 1: If you look into women's clubs, you might feel a bit less worried.
speaker 2: Oh! That sounds like a good idea.
speaker 2: And someone mentioned that.
speaker 2: Clubs that cost a bit of money actually have fewer of those kinds of people, haha!
speaker 1: Is it because it costs money to have a car?
speaker 2: Yes! That might be the case.
speaker 2: Do you join a club by searching for it online?
speaker 1: I started on Twitter and I'm meeting up with like-minded people.
speaker 2: Oh, Twitter!
speaker 2: That's a really interesting approach!
speaker 2: Using Twitter, you tend to meet people with similar interests.
speaker 1: That's right, that's right.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will look into clubs for single men and women.
B. Speaker 2 will look into women's clubs that she can join.
C. Speaker 2 will look into clubs for the purpose of dating.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000002,"speaker 1: Hello, what kind of performances do you usually watch?
speaker 2: I want to see performances, but I don't have many opportunities.
speaker 2: Do you watch performances often?
speaker 1: I used to see them often before COVID, but I haven't since then.ㅠㅠ
speaker 2: What was your favorite performance?
speaker 1: I mostly went to concerts, getting tickets and all that, haha.
speaker 2: Isn't ticketing difficult?
speaker 2: The speed at which it sells out... wow...
speaker 1: I learned through trial and error because each site has slightly different methods... haha.
speaker 2: Which site was the most difficult?
speaker 1: Personally, I found Auction to be the toughest... the site is just too fragile.ㅠ
speaker 2: Ah.. the glass server.
speaker 2: It really makes me angry at times.
speaker 2: Which singer's concert have you been to?
speaker 1: I mostly went to year-end award ceremonies rather than concerts of singers.
speaker 2: Oh, the end of the year is fun, right?
speaker 2: There are a lot of things to see.
speaker 1: Because many singers come out.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will talk about what happened while ticketing at the auction.
B. Speaker 2 will reveal the secret to always succeeding in ticketing on the auction.
C. Speaker 2 will explain why the auction's server is particularly stable.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000003,"speaker 1: Do you know anything about the third new town?
speaker 2: Wow, what a topic!
speaker 1: I'm really surprised!
speaker 2: Yes, they're developing near my house, haha.
speaker 1: Wow, that's amazing!
speaker 1: That's amazing!
speaker 1: Oh, Gwangju, Icheon, Goyang?
speaker 1: No, the first pre-application is in Incheon, Namyangju, and Seongnam!
speaker 1: It seems like Seongnam is always on the list of new towns.
speaker 2: Oh? I guess it's not the first round then.
speaker 2: I live near Gwacheon, haha.
speaker 2: I just got caught not being interested.
speaker 1: Oh no~~~ I just searched it up too!
speaker 1: I wish our house would become part of the new city too~~~
speaker 1: I want to live in a new apartment!
speaker 1: The infrastructure should be good, right?
speaker 2: That's rightㅜㅜ Especially for apartment complexes that are built on such a large scale, infrastructure will definitely develop.
speaker 2: Hahaha!
speaker 1: That's right! I heard that such a new town is coming to the area around our house!
speaker 1: That must be nice!
speaker 1: If you're near Gwacheon, I think there will be plenty of infrastructure around.
speaker 1: I live in Suwon, so I've passed through Gwacheon on my way to Sadang!
speaker 2: If you're from Suwon, my house is almost nearby; I live in Anyang, haha.
speaker 1: Wow, that's quite a large number if the preliminary subscription for the 3rd new town is 4,333 households!
speaker 2: But I still don't have my own home...
speaker 1: Are you interested in the 3rd new town?
speaker 2: If I were given a house... I would take anything, haha!
speaker 2: But I'm single, so I'm not sure if I can apply for the housing lottery.
speaker 1: Oh, me too..",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will look into the types of subscriptions they can apply for.
B. Speaker 2 will search for the types of applications that newlyweds can apply for.
C. Speaker 2 will move up the wedding date to win the lottery.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000004,"speaker 2: Do you have any TV shows you're watching these days?
speaker 1: I'm watching ""What Do You Do When You Play?""
speaker 1: I also watch weekend dramas sometimes and 편스토랑 occasionally, haha.
speaker 2: Oh, I watched ""What Do You Do When You Play?"" last week, the episode with Shin Yu-bin!
speaker 2: It was so funny, haha!
speaker 1: Yeah, it was really funny!
speaker 2: Oh, I haven't seen ""Pyeon Restaurant"" yet. Is it fun?
speaker 1: Yes, it's easy and simple cooking that Ryu Soo-young teaches.
speaker 2: Really?? I need to learn how to cook, haha. I should definitely check it out.
speaker 1: Yes, the last broadcast is cut and uploaded to YouTube, so it should be enough to watch it there!
speaker 1: Are there any other shows you watch?
speaker 2: I'm also watching ""The Great Escape""! I find these mystery shows really interesting.
speaker 2: I remember really enjoying the high school mystery club before too, haha.
speaker 1: Oh right, I watch both too.
speaker 1: It's really fun; I like that kind of stuff too!
speaker 2: Right!! It's so much fun haha.
speaker 1: Last week's episode was legendary, the great escape.
speaker 2: It was amazing, truly legendary.
speaker 1: Last week was the most fun in season 4.
speaker 2: That's right, last week was really so much fun!!ㅠㅠ
speaker 1: I'm really looking forward to this week; last season I could binge-watch it all at once, but this time watching it live makes the waiting tough.
speaker 2: I really wish Sunday would come quickly.
speaker 1: These days, the highlight of my week is the escape room show.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will stop watching 'Pyeon Restaurant'.
B. Speaker 2 will block the 'Pyeon Restaurant' channel.
C. Speaker 2 will watch 'Pyeon Restaurant'.",inference_3,C,inference_3,O
nikluge-2025-대화 맥락 추론-dev-000005,"speaker 2: Houseworkㅠ
speaker 1: No matter how much I do, the housework never ends..
speaker 2: That's right.
speaker 2: They don't even pay us.
speaker 2: It's just hard.
speaker 1: That's right, we should be getting paid more for this hard work.
speaker 1: I especially hate doing the dishes..
speaker 2: I want to buy a dishwasher.
speaker 1: I want one too~ It seems so convenient and nice.
speaker 2: The high price is a downside.
speaker 1: That's true, there's no space to install it at home either.
speaker 1: I wish someone would do it for me ㅠㅋㅋ
speaker 2: Who will do it for me? Haha.
speaker 2: My house is also small.
speaker 1: But if you live in a bigger place, won't there be more housework to do?
speaker 2: Then a robot vacuum cleaner.
speaker 1: Oh, that sounds great! Haha.
speaker 2: I want one too!
speaker 1: I'm thinking about getting one too, but then I hesitate, haha.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will sell their robot vacuum cleaner second-hand.
B. Speaker 1 will start cleaning with a robot vacuum.
C. Speaker 1 will search for the lowest price of a robot vacuum cleaner.",inference_3,C,inference_3,O
nikluge-2025-대화 맥락 추론-dev-000006,"speaker 1: Hello, it really feels like autumn these days!
speaker 2: It's the season of high skies and abundant harvests, and clear days feel even more like autumn!
speaker 1: Yes, I'm planning to go for a walk by the river today, haha. It rained, but now it's clear.
speaker 2: Oh, that sounds wonderful! It must be refreshing.
speaker 1: Yes, the rain has made the breeze cool, and it really feels like autumn.
speaker 2: Since it's a short autumn, we should enjoy it while we can!
speaker 1: Yes, that's right. I really feel like winter will come quickly again this time.ㅠㅠ
speaker 2: Spring and fall clothes are really pretty, but it's tough to hold back since we can't wear them for long.
speaker 1: That's true, haha. Even when I'm choosing, I end up telling myself to just hold off and buy a padded jacket instead.
speaker 2: Right? Haha, I keep telling myself if I can just hold out for two more times, then I can wear my padded jacket while pinching my thighs.ㅠㅠ
speaker 1: And the delivery, haha, if I order now, I have no idea what the weather will be like next week, haha.
speaker 2: Oh no, that's right!! No matter how fast the delivery is, it takes at least three days, and the weather can change in that time.
speaker 1: It's always disappointing that it's so short..",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will check the delivery status of the clothes they bought to wear in spring and fall.
B. Speaker 1 will express complaints to Speaker 2 about the autumn weather.
C. Speaker 1 will look into how long the autumn climate lasts.",inference_3,C,inference_3,O
nikluge-2025-대화 맥락 추론-dev-000007,"speaker 1: Are you a working professional?
speaker 2: Are you also a working professional, name1?
speaker 1: Yes, I'm also a working professional, haha.
speaker 1: How long have you been working?
speaker 2: How about you, name1?
speaker 1: I've been working for 4 years now!
speaker 1: I started in 2016, but I took long breaks in between, haha.
speaker 2: Oh, I see. How long does your commute take? I find mine quite long, and sometimes I wish I could just build a house at the office.
speaker 1: It takes me about an hour and a half.
speaker 1: I live in Incheon and commute to Seoul.
speaker 2: Wow, commuting must be really tough for you. Do you drive to work?
speaker 1: No, the traffic is worse, so I just take the subway.
speaker 2: I see. The subway on the way home must be really tough.
speaker 1: Yes, Line 1 is really painfulㅠㅠ
speaker 1: Even my cellphone barely gets a signal.ㅠ
speaker 2: Oh, Line 1 is really painful, right? It seems like there are so many people that the phones don't work well either.
speaker 1: Yeah, I think so too, haha.
speaker 1: I had to go out to work today too. ㅜㅜ
speaker 1: Mondays are so tough...
speaker 2: I even wish I could magically teleport to and from work.
speaker 1: I really wish that when I open the door, it would lead to my office, or at least to the subway station...ㅠㅠ
speaker 2: Fortunately, it seems like it's not raining; if it were, it would be even more complicated with umbrellas.
speaker 1: That's right, it's slippery, damp, and cold...
speaker 1: Moreover, Line 1 is an above-ground train, so it's often delayed.
speaker 2: Wow, really? It must be so nerve-wracking to commute with delays like that.
speaker 1: Yeah.. so I just leave about 30 minutes earlier, haha.
speaker 1: If the express train has an accident and doesn't run at all, then that day... haha.
speaker 2: Oh no... It's terrible that the express train isn't running. I can understand it for the commute home, but for the morning commute...",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will talk about the convenient aspects of Line 1.
B. Speaker 1 will talk about the scenery of Line 1.
C. Speaker 1 will explain the special features of Line 1.",inference_2,A,inference_1,X
nikluge-2025-대화 맥락 추론-dev-000008,"speaker 1: So you're going to find seasonal ingredients and cook at home, right?
speaker 2: I don't do it well, but I can whip up a decent meal quickly.
speaker 2: Do you prefer eating out or home-cooked meals?
speaker 1: I prefer home-cooked meals.. haha
speaker 1: I also enjoy cooking.
speaker 2: I see! What kind of dishes do you enjoy? I've been really into pot rice lately.
speaker 1: I don't cook very well, but I prefer cooking at home with ingredients rather than eating out.
speaker 2: If you like tomatoes, you should try making tomato rice~ It's surprisingly delicious.
speaker 1: Oh, I've made tomato scrambled eggs a lot, but I never thought of making tomato rice.
speaker 1: I have tomatoes at home, so I think I’ll give it a try.
speaker 2: You can use one tomato for one serving of rice.
speaker 1: Oh, that's true! I definitely have to try it.. It's always fun to challenge myself with new recipes.. haha
speaker 1: And if I find something that suits my taste, that would be great!
speaker 2: Yes~~ You can add a little mushroom while making tomato rice, or you can add a bit of seaweed too.
speaker 2: I highly recommend using a single-serving rice cooker because it reduces the amount of dishes to wash!^^
speaker 1: There are definitely advantages to cooking in a pot.. I also use a small Whistler rice cooker.. Pot rice tastes better.
speaker 2: Right? Just make enough to eat and clean up quickly~~
speaker 2: Clay pot rice is charming.
speaker 1: Yeah.. It's been a while since we got rid of our electric rice cooker at home.. I think I wouldn't be able to use it well if you asked me to.
speaker 2: I also got rid of my rice cooker, and when I cook a lot, I use a pressure cooker, and otherwise, I make pot rice.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will make tomato rice.
B. Speaker 1 will buy tomato egg fried rice.
C. Speaker 1 will plant tomatoes on the balcony of the house.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000009,"speaker 2: Have you ever been on a blind date?
speaker 1: I said I understood, even though I thought it was strange.
speaker 2: So what happened?
speaker 2: I'm curious about the rest of the story.
speaker 1: That lady kept being obsessed.
speaker 2: It seems like she really wanted to let go.
speaker 2: That would make me lose even more interest.
speaker 1: And then in the end, you'll understand the reason why we broke up.
speaker 1: Do you know what I told my friend?
speaker 2: Did you give up?
speaker 1: No, he said to meet his first son.
speaker 1: They said they can go to the countryside right away next month.
speaker 2: Oh dear.
speaker 2: I really, really hate it.
speaker 1: I think the second son was supposed to get married but suddenly broke up with his girlfriend.
speaker 1: What do you think about the situation where the second son suddenly broke up with his girlfriend while he was supposed to get married, and now the venue can't be canceled, but the girl is still expected to come?
speaker 2: Really? That gives me chills.
speaker 1: That's why they must have said it that way.
speaker 1: My friend said it was creepy too.
speaker 1: I think there are really a lot of strange people in the world.
speaker 1: It's a scary world to meet men.
speaker 2: You're right, give me a strange country.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will ask why Speaker 1's friend got married.
B. Speaker 2 will ask about the ending of the story that speaker 1's friend experienced.
C. Speaker 2 will ask how the story that Speaker 1 experienced ended.",inference_2,C,inference_3,X
nikluge-2025-대화 맥락 추론-dev-000010,"speaker 1: Do you like traveling?
speaker 2: I didn't really like it before.
speaker 2: After going through the COVID period, I started wanting to travel!
speaker 1: Where did you travel to most recently?
speaker 2: I went to Jeju Island!
speaker 1: Which place in Jeju did you like the most?
speaker 2: The most memorable part was going to Hyeopjae Beach and watching the sunset!
speaker 1: The sunset is so beautiful!
speaker 1: I think the sea in Jeju is so beautiful every time I go there!
speaker 2: That's right!
speaker 2: the sea is really clean.
speaker 2: The scenery was beautiful, so it was nice.
speaker 1: Aren't there a lot of great restaurants too?
speaker 1: I had the grilled hairtail in Jeju Island, and it was so delicious.
speaker 2: That's right~~ Everywhere you go, the atmosphere is nice and the food is delicious.
speaker 2: I had mackerel grilled at a restaurant near Hyopjae, and it was the best mackerel I've ever had.
speaker 2: It didn't taste fishy at all and was as tender as eating a steak.
speaker 1: I love seafood so much, so if I have a chance to go to Jeju Island next time, I definitely have to check it out!
speaker 1: If it's as good as steak, it must be really delicious!
speaker 2: Yes! Was it something like Uncle's sushi restaurant..?
speaker 2: It comes out like a course meal, and it's really delicious.
speaker 1: I should save it and definitely visit when I go to Jeju Island, haha.
speaker 1: Thank you for the restaurant information.
speaker 2: Where is a good place for grilled hairtail?
speaker 1: I had a delicious meal at Chunsim's, haha.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will write a review of the restaurant that they went to with Speaker 2.
B. Speaker 1 will exclude a visit to a seafood restaurant from the travel plan to Jeju Island.
C. Speaker 1 will jot down the restaurant that Speaker 2 mentioned.",inference_3,C,inference_3,O
