id,category,ground_truth,llm_answer
nikluge-2025-대화 맥락 추론-dev-000001,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000002,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000003,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000004,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000005,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000006,후행사건,inference_3,A
nikluge-2025-대화 맥락 추론-dev-000007,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000008,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000009,후행사건,inference_2,C
nikluge-2025-대화 맥락 추론-dev-000010,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000011,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000012,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000013,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000014,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000015,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000016,후행사건,inference_2,C
nikluge-2025-대화 맥락 추론-dev-000017,후행사건,inference_2,C
nikluge-2025-대화 맥락 추론-dev-000018,후행사건,inference_2,A
nikluge-2025-대화 맥락 추론-dev-000019,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000020,후행사건,inference_3,B
nikluge-2025-대화 맥락 추론-dev-000021,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000022,후행사건,inference_3,A
nikluge-2025-대화 맥락 추론-dev-000023,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000024,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000025,후행사건,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000026,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000027,원인,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000028,동기,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000029,전제,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000030,반응,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000031,후행사건,inference_1,B
nikluge-2025-대화 맥락 추론-dev-000032,원인,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000033,동기,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000034,전제,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000035,반응,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000036,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000037,원인,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000038,동기,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000039,전제,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000040,반응,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000041,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000042,원인,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000043,동기,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000044,전제,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000045,반응,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000046,후행사건,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000047,원인,inference_3,B
nikluge-2025-대화 맥락 추론-dev-000048,동기,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000049,전제,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000050,반응,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000051,후행사건,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000052,원인,inference_2,B
nikluge-2025-대화 맥락 추론-dev-000053,동기,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000054,전제,inference_1,A
nikluge-2025-대화 맥락 추론-dev-000055,반응,inference_3,C
nikluge-2025-대화 맥락 추론-dev-000056,후행사건,inference_3,C
